date,lon,lat,eyenum,chl_pre,chl_post,sst_pre,sst_post,CycloneName
29-11-2024,82.6,10.6,EYE-21,,0.1989,8.37,26.83,Fengal
29-11-2024,82.5,10.9,EYE-22,,0.1989,6.08,26.62,Fengal
29-11-2024,82.2,11.2,EYE-23,,0.1981,,26.47,Fengal
29-11-2024,81.9,11.5,EYE-24,,,,26.71,Fengal
29-11-2024,81.7,11.6,EYE-25,,,0.02,26.79,Fengal
29-11-2024,81.7,11.8,EYE-26,,,6.9,26.74,Fengal
29-11-2024,81.5,11.9,EYE-27,,,11.12,26.57,Fengal
30-11-2024,81.2,12.2,EYE-28,,,19.19,26.37,Fengal
30-11-2024,80.9,12.3,EYE-29,,,22.32,25.12,Fengal
30-11-2024,80.7,12.3,EYE-30,,,23.26,23.63,Fengal
30-11-2024,80.5,12.3,EYE-31,,,23.32,21.69,Fengal
30-11-2024,80.3,12.3,EYE-32,,,22.56,19.88,Fengal
30-11-2024,80.1,12.2,EYE-33,,,20.56,18.38,Fengal
30-11-2024,79.8,12,EYE-34,,,15.41,16.99,Fengal
30-11-2024,79.8,12,EYE-35,,,15.41,16.99,Fengal
